Gender,Year,Faculty,CGPA,Credits ,Transport,TransportTime,TransportMoney,Sleep,StartPreferance,EndPreferance,Satisfaction,Skip8to10,Skip10to12,Skip12to1,Skip2to4,Skip2to5,Skip4to6,Concentration8to10,Concentration10to12,Concentration12to1,Concentration2to4,Concentration2to5,Concentration4to6
Male,2nd Year,School of Computing,2.11,18,Walking,10,7.0,5,11:00 AM,4:00 PM,3,3 times,2 times,3 times,2 times,3 times,2 times,50%,50%,50%,50%,50%,50%
Male,1st Year,School of Electrical Engineering,3.1,16,Car,15,6.0,6,10:00 AM,1:00 PM,3,3 times,Never,Never,Never,Never,Never,50%,100%,100%,100%,100%,100%
Female,1st Year,School of Bio-sciences & Medical Engineering,0,17,Bus,30,10.0,5,9 am;10 am;11 am,1 pm;3 pm;4 pm;5 pm,2,1 time,Never,Never,Never,Never,Never,0%,75%,75%,50%,50%,25%
Female,1st Year,School of Mechanical Engineering,3.98,18,Bus,15,0.0,4,11:00 AM,1:00 PM,1,Never,Never,Never,Never,Never,Never,75%,100%,75%,75%,25%,0%
Female,2nd Year,School of Computing,2.89,18,Bike,10,2.0,5,10:00 AM,4:00 PM,2,5+ times,3 times,2 times,1 time,1 time,2 times,0%,0%,75%,50%,50%,25%
Female,3rd Year,School of Computing,3.49,20,Grab,30,12.0,9,10 am;11 am,1:00 PM,3,5+ times,4 times,3 times,2 times,2 times,4 times,25%,75%,50%,75%,75%,25%
Male,2nd Year,School of Computing,3.56,18,Bike,15,5.0,8,11:00 AM,5:00 PM,1,5+ times,3 times,2 times,Never,Never,Never,0%,50%,75%,100%,100%,75%
Female,1st Year,School of Bio-sciences & Medical Engineering,3.1,17,Bus,30,0.0,6,10:00 AM,1:00 PM,3,Never,Never,Never,Never,Never,Never,50%,50%,25%,25%,25%,25%
Male,2nd Year,School of Computing,4,17,Walking,10,0.0,7,9 am;10 am;11 am,1 pm;3 pm;4 pm,3,Never,Never,Never,Never,Never,Never,75%,100%,100%,75%,75%,50%
Male,1st Year,School of Computing,3.95,14,Walking,10,0.0,5,11:00 AM,1:00 PM,3,Never,Never,Never,Never,Never,Never,100%,75%,50%,25%,0%,0%
Male,2nd Year,School of Computing,2.69,18,Bike,15,0.0,5,11:00 AM,1:00 PM,1,3 times,Never,Never,Never,Never,Never,50%,50%,50%,50%,50%,50%
Female,1st Year,School of Computing,2.11,16,Bus,20,7.0,4,10:00 AM,1:00 PM,1,2 times,Never,Never,Never,1 time,Never,25%,75%,75%,50%,50%,50%
Female,1st Year,School of Electrical Engineering,3.54,18,Bus,7,15.0,7,9 am;10 am,3:00 PM,3,1 time,Never,Never,2 times,Never,Never,50%,50%,0%,25%,50%,0%
Male,1st Year,School of Computing,3.58,16,Walking,15,5.0,6,11:00 AM,1:00 PM,1,2 times,1 time,Never,Never,Never,Never,25%,50%,75%,100%,75%,50%
